canal_mis;nome_midia
::unspecified::;Direto
Canal - Afiliados (WA);Afiliados
Canal - B2B (WA);Outros
Canal - Comparador de Preço (WA);Comparadores
Canal - Cooperado (WA);Outros
Canal - Direto (WA);Direto
Canal - Display- PERF (WA);Outros
Canal - Display Top Mid (WA);Outros
Canal - Display Top Mid(WA);Outros
Canal - Email Marketing  Parceiros (WA);Email
Canal - Email Marketing (WA);Email
Canal - Others (WA);Outros
Canal - Outros (WA);Outros
Canal - Retargeting (WA);Retargeting
Canal - SEM Branding (WA);SEM Branding
Canal - SEM PLA (WA);PLA
Canal - SEM Search (WA);SEM Search
Canal - SEO (WA);SEO
Canal - Social DPA (WA);Social
Canal - Social Organico (WA);Social
Canal - Social Patrocinado (WA);Social
NA;Direto
Não Identificado;Outros
None;Outros
