tabela;campo;de;para
departamento;iddepartamento;0;Outros
departamento;iddepartamento;1;TVs e Acessórios
departamento;iddepartamento;13;Eletrodomésticos
departamento;iddepartamento;29;Cine e Foto
departamento;iddepartamento;38;Telefones e Celulares
departamento;iddepartamento;56;Informática
departamento;iddepartamento;73;Eletroportáteis
departamento;iddepartamento;93;Móveis
departamento;iddepartamento;102;Beleza e Saúde  
departamento;iddepartamento;318;Integracao Sige
departamento;iddepartamento;336;Games
departamento;iddepartamento;371;Utilidades Domésticas
departamento;iddepartamento;418;Esporte e Lazer
departamento;iddepartamento;448;Calçados
departamento;iddepartamento;484;Livros
departamento;iddepartamento;664;NÃO USAR - TESTE
departamento;iddepartamento;827;Ferramentas
departamento;iddepartamento;833;DVDs e Blu-Ray
departamento;iddepartamento;836;Automotivo
departamento;iddepartamento;977;Brinquedos
departamento;iddepartamento;983;Bebês
departamento;iddepartamento;1017;Linha Industrial
departamento;iddepartamento;1639;Papelaria
departamento;iddepartamento;1732;Cama. Mesa e Banho
departamento;iddepartamento;1733;Relógios
departamento;iddepartamento;1734;Moda
departamento;iddepartamento;1813;Malas e Mochilas
departamento;iddepartamento;1886;Perfumaria
departamento;iddepartamento;2031;Tablets
departamento;iddepartamento;2042;Natal
departamento;iddepartamento;2285;Produtos de Limpeza
departamento;iddepartamento;2294;Pet Shop
departamento;iddepartamento;2339;Alimentos
departamento;iddepartamento;2471;Instrumentos Musicais
departamento;iddepartamento;2546;Viagens
departamento;iddepartamento;2547;Casa e Construção
departamento;iddepartamento;2596;Bebidas
departamento;iddepartamento;2599;Artesanato
departamento;iddepartamento;2673;Alameda de Serviços
departamento;iddepartamento;2809;Ar e Ventilação
departamento;iddepartamento;2894;Artigos para Festas
departamento;iddepartamento;3279;Áudio
departamento;iddepartamento;3359;Decoração
